selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 0.5,1.4,Open,Spiller Frispark Begået | Calvin Ramsay,2026-01-08T20:00:00Z,Calvin Ramsay,0.5
Over 2.5,4.5,Open,Spiller Frispark Begået | Riccardo Calafiori,2026-01-08T20:00:00Z,Riccardo Calafiori,2.5
Over 0.5,1.25,Open,Spiller Frispark Begået | Riccardo Calafiori,2026-01-08T20:00:00Z,Riccardo Calafiori,0.5
Over 1.5,2.2,Open,Spiller Frispark Begået | Riccardo Calafiori,2026-01-08T20:00:00Z,Riccardo Calafiori,1.5
Over 0.5,1.17,Open,Spiller Frispark Begået | Stefan Bajcetic,2026-01-08T20:00:00Z,Stefan Bajcetic,0.5
Over 1.5,1.85,Open,Spiller Frispark Begået | Stefan Bajcetic,2026-01-08T20:00:00Z,Stefan Bajcetic,1.5
Over 2.5,3.5,Open,Spiller Frispark Begået | Stefan Bajcetic,2026-01-08T20:00:00Z,Stefan Bajcetic,2.5
Over 1.5,2.2,Open,Spiller Frispark Begået | Keyrol Figueroa,2026-01-08T20:00:00Z,Keyrol Figueroa,1.5
Over 2.5,4.5,Open,Spiller Frispark Begået | Keyrol Figueroa,2026-01-08T20:00:00Z,Keyrol Figueroa,2.5
Over 0.5,1.25,Open,Spiller Frispark Begået | Keyrol Figueroa,2026-01-08T20:00:00Z,Keyrol Figueroa,0.5
Over 1.5,3.2,Open,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00Z,Ethan Nwaneri,1.5
Over 0.5,1.5,Open,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00Z,Ethan Nwaneri,0.5
Over 0.5,1.48,Open,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00Z,Ben White,0.5
Over 1.5,3.2,Open,Spiller Frispark Begået | Ben White,2026-01-08T20:00:00Z,Ben White,1.5
Over 2.5,5.5,Open,Spiller Frispark Begået | Dominik Szoboszlai,2026-01-08T20:00:00Z,Dominik Szoboszlai,2.5
Over 0.5,1.32,Open,Spiller Frispark Begået | Dominik Szoboszlai,2026-01-08T20:00:00Z,Dominik Szoboszlai,0.5
Over 1.5,2.5,Open,Spiller Frispark Begået | Dominik Szoboszlai,2026-01-08T20:00:00Z,Dominik Szoboszlai,1.5
Over 0.5,1.3,Open,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00Z,Ryan Gravenberch,0.5
Over 2.5,5.0,Open,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00Z,Ryan Gravenberch,2.5
Over 1.5,2.35,Open,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00Z,Ryan Gravenberch,1.5
Over 1.5,4.5,Open,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00Z,Gabriel Magalhaes,1.5
Over 0.5,1.78,Open,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00Z,Gabriel Magalhaes,0.5
Over 0.5,1.65,Open,Spiller Frispark Begået | Andrew Robertson,2026-01-08T20:00:00Z,Andrew Robertson,0.5
Over 1.5,4.0,Open,Spiller Frispark Begået | Andrew Robertson,2026-01-08T20:00:00Z,Andrew Robertson,1.5
