event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Arsenal vs Liverpool,Ethan Nwaneri,Over 0.5,1.5,Open,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ethan Nwaneri,Over 1.5,3.2,Open,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Federico Chiesa,Over 0.5,1.3,Open,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Federico Chiesa,Over 1.5,2.35,Open,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Federico Chiesa,Over 2.5,5.0,Open,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Florian Wirtz,Over 0.5,1.6,Open,Spiller Frispark Begået | Florian Wirtz,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Florian Wirtz,Over 1.5,3.7,Open,Spiller Frispark Begået | Florian Wirtz,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Gabriel Jesus,Over 0.5,1.17,Open,Spiller Frispark Begået | Gabriel Jesus,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Gabriel Jesus,Over 1.5,1.85,Open,Spiller Frispark Begået | Gabriel Jesus,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Gabriel Jesus,Over 2.5,3.5,Open,Spiller Frispark Begået | Gabriel Jesus,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Gabriel Magalhaes,Over 0.5,1.78,Open,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Gabriel Magalhaes,Over 1.5,4.5,Open,Spiller Frispark Begået | Gabriel Magalhaes,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Gabriel Martinelli,Over 0.5,1.78,Open,Spiller Frispark Begået | Gabriel Martinelli,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Gabriel Martinelli,Over 1.5,4.5,Open,Spiller Frispark Begået | Gabriel Martinelli,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Giovanni Leoni,Over 0.5,1.58,Open,Spiller Frispark Begået | Giovanni Leoni,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Giovanni Leoni,Over 1.5,3.6,Open,Spiller Frispark Begået | Giovanni Leoni,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Hugo Ekitike,Over 0.5,1.16,Open,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Hugo Ekitike,Over 1.5,1.82,Open,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Hugo Ekitike,Over 2.5,3.4,Open,Spiller Frispark Begået | Hugo Ekitike,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ibrahima Konate,Over 0.5,1.28,Open,Spiller Frispark Begået | Ibrahima Konate,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ibrahima Konate,Over 1.5,2.3,Open,Spiller Frispark Begået | Ibrahima Konate,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ibrahima Konate,Over 2.5,4.75,Open,Spiller Frispark Begået | Ibrahima Konate,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Jayden Danns,Over 0.5,1.45,Open,Spiller Frispark Begået | Jayden Danns,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Jayden Danns,Over 1.5,3.0,Open,Spiller Frispark Begået | Jayden Danns,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Jeremie Frimpong,Over 0.5,1.4,Open,Spiller Frispark Begået | Jeremie Frimpong,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Jeremie Frimpong,Over 1.5,2.75,Open,Spiller Frispark Begået | Jeremie Frimpong,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Joe Gomez,Over 0.5,1.3,Open,Spiller Frispark Begået | Joe Gomez,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Joe Gomez,Over 1.5,2.35,Open,Spiller Frispark Begået | Joe Gomez,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Joe Gomez,Over 2.5,5.0,Open,Spiller Frispark Begået | Joe Gomez,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Josh Nichols,Over 0.5,1.52,Open,Spiller Frispark Begået | Josh Nichols,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Josh Nichols,Over 1.5,3.4,Open,Spiller Frispark Begået | Josh Nichols,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Jurrien Timber,Over 0.5,1.24,Open,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Jurrien Timber,Over 1.5,2.15,Open,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Jurrien Timber,Over 2.5,4.25,Open,Spiller Frispark Begået | Jurrien Timber,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kai Havertz,Over 0.5,1.18,Open,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kai Havertz,Over 1.5,1.9,Open,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kai Havertz,Over 2.5,3.7,Open,Spiller Frispark Begået | Kai Havertz,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kaide Gordon,Over 0.5,1.35,Open,Spiller Frispark Begået | Kaide Gordon,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kaide Gordon,Over 1.5,2.6,Open,Spiller Frispark Begået | Kaide Gordon,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kaide Gordon,Over 2.5,6.0,Open,Spiller Frispark Begået | Kaide Gordon,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Keyrol Figueroa,Over 0.5,1.25,Open,Spiller Frispark Begået | Keyrol Figueroa,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Keyrol Figueroa,Over 1.5,2.2,Open,Spiller Frispark Begået | Keyrol Figueroa,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Keyrol Figueroa,Over 2.5,4.5,Open,Spiller Frispark Begået | Keyrol Figueroa,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kieran Morrison,Over 0.5,1.4,Open,Spiller Frispark Begået | Kieran Morrison,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Kieran Morrison,Over 1.5,2.85,Open,Spiller Frispark Begået | Kieran Morrison,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Leandro Trossard,Over 0.5,1.78,Open,Spiller Frispark Begået | Leandro Trossard,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Leandro Trossard,Over 1.5,4.5,Open,Spiller Frispark Begået | Leandro Trossard,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Louie Copley,Over 0.5,1.3,Open,Spiller Frispark Begået | Louie Copley,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Louie Copley,Over 1.5,2.4,Open,Spiller Frispark Begået | Louie Copley,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Louie Copley,Over 2.5,5.0,Open,Spiller Frispark Begået | Louie Copley,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Marli Salmon,Over 0.5,1.6,Open,Spiller Frispark Begået | Marli Salmon,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Marli Salmon,Over 1.5,3.7,Open,Spiller Frispark Begået | Marli Salmon,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Martin Zubimendi,Over 0.5,1.32,Open,Spiller Frispark Begået | Martin Zubimendi,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Martin Zubimendi,Over 1.5,2.45,Open,Spiller Frispark Begået | Martin Zubimendi,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Martin Zubimendi,Over 2.5,5.5,Open,Spiller Frispark Begået | Martin Zubimendi,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Martin Ødegaard,Over 0.5,1.95,Open,Spiller Frispark Begået | Martin Ødegaard,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Martin Ødegaard,Over 1.5,5.5,Open,Spiller Frispark Begået | Martin Ødegaard,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Max Dowman,Over 0.5,1.55,Open,Spiller Frispark Begået | Max Dowman,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Max Dowman,Over 1.5,3.4,Open,Spiller Frispark Begået | Max Dowman,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Michael Laffey,Over 0.5,1.22,Open,Spiller Frispark Begået | Michael Laffey,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Michael Laffey,Over 1.5,2.05,Open,Spiller Frispark Begået | Michael Laffey,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Michael Laffey,Over 2.5,4.0,Open,Spiller Frispark Begået | Michael Laffey,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Mikel Merino,Over 0.5,1.13,Open,Spiller Frispark Begået | Mikel Merino,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Mikel Merino,Over 1.5,1.72,Open,Spiller Frispark Begået | Mikel Merino,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Mikel Merino,Over 2.5,3.1,Open,Spiller Frispark Begået | Mikel Merino,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Milos Kerkez,Over 0.5,1.55,Open,Spiller Frispark Begået | Milos Kerkez,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Milos Kerkez,Over 1.5,3.4,Open,Spiller Frispark Begået | Milos Kerkez,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Myles Lewis-skelly,Over 0.5,1.35,Open,Spiller Frispark Begået | Myles Lewis-skelly,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Myles Lewis-skelly,Over 1.5,2.65,Open,Spiller Frispark Begået | Myles Lewis-skelly,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Myles Lewis-skelly,Over 2.5,6.0,Open,Spiller Frispark Begået | Myles Lewis-skelly,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Noni Madueke,Over 0.5,1.9,Open,Spiller Frispark Begået | Noni Madueke,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Noni Madueke,Over 1.5,5.0,Open,Spiller Frispark Begået | Noni Madueke,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Piero Hincapie,Over 0.5,1.38,Open,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Piero Hincapie,Over 1.5,2.7,Open,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Piero Hincapie,Over 2.5,6.0,Open,Spiller Frispark Begået | Piero Hincapie,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Rhys Williams,Over 0.5,1.6,Open,Spiller Frispark Begået | Rhys Williams,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Rhys Williams,Over 1.5,3.7,Open,Spiller Frispark Begået | Rhys Williams,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Riccardo Calafiori,Over 0.5,1.25,Open,Spiller Frispark Begået | Riccardo Calafiori,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Riccardo Calafiori,Over 1.5,2.2,Open,Spiller Frispark Begået | Riccardo Calafiori,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Riccardo Calafiori,Over 2.5,4.5,Open,Spiller Frispark Begået | Riccardo Calafiori,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Rio Ngumoha,Over 0.5,1.7,Open,Spiller Frispark Begået | Rio Ngumoha,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Rio Ngumoha,Over 1.5,4.0,Open,Spiller Frispark Begået | Rio Ngumoha,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ryan Gravenberch,Over 0.5,1.3,Open,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ryan Gravenberch,Over 1.5,2.35,Open,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Ryan Gravenberch,Over 2.5,5.0,Open,Spiller Frispark Begået | Ryan Gravenberch,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Stefan Bajcetic,Over 0.5,1.17,Open,Spiller Frispark Begået | Stefan Bajcetic,2026-01-08T20:00:00Z
Arsenal vs Liverpool,Stefan Bajcetic,Over 1.5,1.85,Open,Spiller Frispark Begået | Stefan Bajcetic,2026-01-08T20:00:00Z
