event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Roma vs Sassuolo,Andrea Pinamonti,Over 1.5,1.7,Open,Spiller Frispark Begået | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Over 2.5,2.95,Open,Spiller Frispark Begået | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Angeliño,Over 0.5,1.38,Open,Spiller Frispark Begået | Angeliño,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Angeliño,Over 1.5,2.85,Open,Spiller Frispark Begået | Angeliño,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 0.5,1.1,Open,Spiller Frispark Begået | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 1.5,1.67,Open,Spiller Frispark Begået | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 2.5,2.9,Open,Spiller Frispark Begået | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Aster Vranckx,Over 1.5,1.37,Open,Spiller Frispark Begået | Aster Vranckx,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Aster Vranckx,Over 2.5,2.1,Open,Spiller Frispark Begået | Aster Vranckx,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniel Boloca,Over 0.5,1.19,Open,Spiller Frispark Begået | Daniel Boloca,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniel Boloca,Over 1.5,2.02,Open,Spiller Frispark Begået | Daniel Boloca,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniele Ghilardi,Over 0.5,1.23,Open,Spiller Frispark Begået | Daniele Ghilardi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniele Ghilardi,Over 1.5,2.18,Open,Spiller Frispark Begået | Daniele Ghilardi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Daniele Ghilardi,Over 2.5,4.3,Open,Spiller Frispark Begået | Daniele Ghilardi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Over 0.5,1.3,Open,Spiller Frispark Begået | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Over 1.5,2.5,Open,Spiller Frispark Begået | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 0.5,1.46,Open,Spiller Frispark Begået | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 1.5,3.15,Open,Spiller Frispark Begået | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Fali Cande,Over 0.5,1.11,Open,Spiller Frispark Begået | Fali Cande,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Fali Cande,Over 1.5,1.74,Open,Spiller Frispark Begået | Fali Cande,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Fali Cande,Over 2.5,3.1,Open,Spiller Frispark Begået | Fali Cande,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Filippo Romagna,Over 0.5,1.22,Open,Spiller Frispark Begået | Filippo Romagna,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Filippo Romagna,Over 1.5,2.12,Open,Spiller Frispark Begået | Filippo Romagna,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Gianluca Mancini,Over 0.5,1.1,Open,Spiller Frispark Begået | Gianluca Mancini,2026-01-10T17:00:00+00:00
