event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Roma vs Sassuolo,Andrea Pinamonti,Over 0.5,5.2,Open,Spillers samlede antal assister | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Angeliño,Over 0.5,8.5,Open,Spillers samlede antal assister | Angeliño,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 0.5,5.75,Open,Spillers samlede antal assister | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Over 0.5,9.5,Open,Spillers samlede antal assister | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 0.5,3.4,Open,Spillers samlede antal assister | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Gianluca Mancini,Over 0.5,9.5,Open,Spillers samlede antal assister | Gianluca Mancini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Over 0.5,9.5,Open,Spillers samlede antal assister | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kostas Tsimikas,Over 0.5,9.5,Open,Spillers samlede antal assister | Kostas Tsimikas,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Kouadio Kone,Over 0.5,7.0,Open,Spillers samlede antal assister | Kouadio Kone,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Over 0.5,9.0,Open,Spillers samlede antal assister | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 0.5,3.3,Open,Spillers samlede antal assister | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Neil El Aynaoui,Over 0.5,5.4,Open,Spillers samlede antal assister | Neil El Aynaoui,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Over 0.5,5.6,Open,Spillers samlede antal assister | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 0.5,6.75,Open,Spillers samlede antal assister | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 0.5,3.2,Open,Spillers samlede antal assister | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Over 0.5,3.7,Open,Spillers samlede antal assister | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tommaso Baldanzi,Over 0.5,4.9,Open,Spillers samlede antal assister | Tommaso Baldanzi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Over 0.5,6.4,Open,Spillers samlede antal assister | Walid Cheddira,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Wesley Vinícius França Lima,Over 0.5,6.5,Open,Spillers samlede antal assister | Wesley Vinícius França Lima,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Zeki Çelik,Over 0.5,6.0,Open,Spillers samlede antal assister | Zeki Çelik,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alessandro Arena,Over 0.5,1.03,Open,Spillers samlede antal skud | Alessandro Arena,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alessandro Arena,Over 1.5,1.38,Open,Spillers samlede antal skud | Alessandro Arena,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Alessandro Arena,Over 2.5,2.15,Open,Spillers samlede antal skud | Alessandro Arena,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Over 0.5,1.08,Open,Spillers samlede antal skud | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Over 1.5,1.55,Open,Spillers samlede antal skud | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Andrea Pinamonti,Over 2.5,2.55,Open,Spillers samlede antal skud | Andrea Pinamonti,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 0.5,1.08,Open,Spillers samlede antal skud | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 1.5,1.53,Open,Spillers samlede antal skud | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Armand Laurienté,Over 2.5,2.55,Open,Spillers samlede antal skud | Armand Laurienté,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Over 0.5,1.77,Open,Spillers samlede antal skud | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Devyne Rensch,Over 1.5,4.4,Open,Spillers samlede antal skud | Devyne Rensch,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 1.5,1.2,Open,Spillers samlede antal skud | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 2.5,1.65,Open,Spillers samlede antal skud | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Evan Ferguson,Over 3.5,2.5,Open,Spillers samlede antal skud | Evan Ferguson,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Over 0.5,1.88,Open,Spillers samlede antal skud | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Jan Ziolkowski,Over 1.5,4.9,Open,Spillers samlede antal skud | Jan Ziolkowski,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Over 0.5,1.3,Open,Spillers samlede antal skud | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Laurs Skjellerup,Over 1.5,2.38,Open,Spillers samlede antal skud | Laurs Skjellerup,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 0.5,1.02,Open,Spillers samlede antal skud | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 1.5,1.35,Open,Spillers samlede antal skud | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 2.5,2.05,Open,Spillers samlede antal skud | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Matías Soulé,Over 3.5,3.3,Open,Spillers samlede antal skud | Matías Soulé,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Neil El Aynaoui,Over 0.5,1.2,Open,Spillers samlede antal skud | Neil El Aynaoui,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Neil El Aynaoui,Over 1.5,2.04,Open,Spillers samlede antal skud | Neil El Aynaoui,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Over 0.5,1.19,Open,Spillers samlede antal skud | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Niccolò Pisilli,Over 1.5,2.05,Open,Spillers samlede antal skud | Niccolò Pisilli,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 0.5,1.23,Open,Spillers samlede antal skud | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Nicholas Pierini,Over 1.5,2.15,Open,Spillers samlede antal skud | Nicholas Pierini,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 1.5,1.13,Open,Spillers samlede antal skud | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 2.5,1.52,Open,Spillers samlede antal skud | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Paulo Dybala,Over 3.5,2.23,Open,Spillers samlede antal skud | Paulo Dybala,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Over 1.5,1.28,Open,Spillers samlede antal skud | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Over 2.5,1.9,Open,Spillers samlede antal skud | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Stephan El Shaarawy,Over 3.5,3.05,Open,Spillers samlede antal skud | Stephan El Shaarawy,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tommaso Baldanzi,Over 0.5,1.19,Open,Spillers samlede antal skud | Tommaso Baldanzi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Tommaso Baldanzi,Over 1.5,2.02,Open,Spillers samlede antal skud | Tommaso Baldanzi,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Over 0.5,1.14,Open,Spillers samlede antal skud | Walid Cheddira,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Over 1.5,1.74,Open,Spillers samlede antal skud | Walid Cheddira,2026-01-10T17:00:00+00:00
Roma vs Sassuolo,Walid Cheddira,Over 2.5,2.95,Open,Spillers samlede antal skud | Walid Cheddira,2026-01-10T17:00:00+00:00
