event,player,selectionLabel,marketLabel,payout_betinia,payout_expekt,payout_betano,best_bookmaker,best_payout,second_best_payout,ratio_best_over_second
Egypten vs Elfenbenskysten,Emmanuel Agbadou,Over 0.5,Antal afslutninger på mål | Emmanuel Agbadou,,5.0,2.85,Expekt,5.0,2.85,1.7543859649122806
Real Oviedo vs Real Betis,Ivan Corralejo,Yes,Spiller får kort | Ivan Corralejo,2.8,,4.9,Betano,4.9,2.8,1.7500000000000002
Villarreal vs Alaves,Georges Mikautadze,Over 2.5,Spillers samlede antal skud | Georges Mikautadze,,1.2,2.1,Betano,2.1,1.2,1.7500000000000002
Valencia vs Elche,Rodrigo Mendoza,Over 0.5,Antal afslutninger på mål | Rodrigo Mendoza,2.2,,3.85,Betano,3.85,2.2,1.75
Levante vs Espanyol,Pablo Martinez,Over 0.5,Antal afslutninger på mål | Pablo Martinez,1.7143,1.67,3.0,Betano,3.0,1.7143,1.7499854167881934
Villarreal vs Alaves,Juan Foyth,Over 2.5,Spillers samlede antal tacklinger | Juan Foyth,3.3334,1.91,,Betinia,3.3334,1.91,1.745235602094241
Villarreal vs Alaves,Ayoze Perez,Yes,Spiller scorer | Ayoze Perez,1.7778,3.1,,Expekt,3.1,1.7778,1.7437282033974575
Rayo Vallecano vs Mallorca,Pedro Diaz,Yes,Spiller scorer | Pedro Diaz,3.5,,6.1,Betano,6.1,3.5,1.7428571428571427
Levante vs Espanyol,Carlos Romero,Over 0.5,Antal afslutninger på mål | Carlos Romero,2.6,5.0,2.9,Expekt,5.0,2.9,1.7241379310344829
Egypten vs Elfenbenskysten,Osama Faisal,Yes,Spiller får kort | Osama Faisal,,3.2,5.5,Betano,5.5,3.2,1.71875
Udinese vs Pisa,Kingsley Ehizibue,Yes,Spiller får kort | Kingsley Ehizibue,3.2,5.5,,Expekt,5.5,3.2,1.71875
Udinese vs Pisa,Arthur Atta,Yes,Spiller får kort | Arthur Atta,3.5,6.0,,Expekt,6.0,3.5,1.7142857142857142
Villarreal vs Alaves,Carles Alena,Over 1.5,Spillers samlede antal skud | Carles Alena,3.6,2.1,,Betinia,3.6,2.1,1.7142857142857142
Como 1907 vs Bologna,Maxence Caqueret,Over 0.5,Antal afslutninger på mål | Maxence Caqueret,,1.67,2.85,Betano,2.85,1.67,1.7065868263473054
Atalanta vs Torino,Charles De Ketelaere,Over 3.5,Spillers samlede antal skud | Charles De Ketelaere,,1.91,3.25,Betano,3.25,1.91,1.7015706806282722
Villarreal vs Alaves,Tajon Buchanan,Over 2.5,Spillers samlede antal skud | Tajon Buchanan,2.0,2.0,3.4,Betano,3.4,2.0,1.7
Valencia vs Elche,Largie Ramazani,Yes,Spiller får kort | Largie Ramazani,2.8572,3.3,5.6,Betano,5.6,3.3,1.696969696969697
Rayo Vallecano vs Mallorca,Pedro Diaz,Over 0.5,Antal afslutninger på mål | Pedro Diaz,1.68,,2.85,Betano,2.85,1.68,1.6964285714285716
