event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 1.5,4.65,Open,Antal afslutninger på mål | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 2.5,12.5,Open,Antal afslutninger på mål | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 3.5,21.0,Open,Antal afslutninger på mål | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jonathan Burkardt,Over 0.5,1.26,Open,Antal afslutninger på mål | Jonathan Burkardt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jonathan Burkardt,Over 1.5,2.2,Open,Antal afslutninger på mål | Jonathan Burkardt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jonathan Burkardt,Over 2.5,4.8,Open,Antal afslutninger på mål | Jonathan Burkardt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jonathan Burkardt,Over 3.5,10.5,Open,Antal afslutninger på mål | Jonathan Burkardt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jonathan Burkardt,Over 4.5,18.5,Open,Antal afslutninger på mål | Jonathan Burkardt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jordi Paulina,Over 0.5,1.6,Open,Antal afslutninger på mål | Jordi Paulina,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jordi Paulina,Over 1.5,3.75,Open,Antal afslutninger på mål | Jordi Paulina,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jordi Paulina,Over 2.5,9.75,Open,Antal afslutninger på mål | Jordi Paulina,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jordi Paulina,Over 3.5,18.5,Open,Antal afslutninger på mål | Jordi Paulina,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jordi Paulina,Over 4.5,24.0,Open,Antal afslutninger på mål | Jordi Paulina,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 0.5,1.85,Open,Antal afslutninger på mål | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 1.5,5.2,Open,Antal afslutninger på mål | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 2.5,13.5,Open,Antal afslutninger på mål | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 3.5,22.0,Open,Antal afslutninger på mål | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 0.5,3.85,Open,Antal afslutninger på mål | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 1.5,16.0,Open,Antal afslutninger på mål | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 2.5,24.0,Open,Antal afslutninger på mål | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 0.5,1.93,Open,Antal afslutninger på mål | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 1.5,5.6,Open,Antal afslutninger på mål | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 2.5,14.5,Open,Antal afslutninger på mål | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 3.5,23.0,Open,Antal afslutninger på mål | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 0.5,1.45,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 1.5,3.05,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 2.5,7.6,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 3.5,16.0,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 4.5,22.0,Open,Antal afslutninger på mål | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 0.5,3.25,Open,Antal afslutninger på mål | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 1.5,13.0,Open,Antal afslutninger på mål | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 2.5,23.0,Open,Antal afslutninger på mål | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 0.5,2.25,Open,Antal afslutninger på mål | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 1.5,7.4,Open,Antal afslutninger på mål | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 2.5,18.0,Open,Antal afslutninger på mål | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 3.5,24.0,Open,Antal afslutninger på mål | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 0.5,2.25,Open,Antal afslutninger på mål | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 1.5,7.4,Open,Antal afslutninger på mål | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 2.5,18.0,Open,Antal afslutninger på mål | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 3.5,24.0,Open,Antal afslutninger på mål | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mathis Albert,Over 0.5,1.93,Open,Antal afslutninger på mål | Mathis Albert,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mathis Albert,Over 1.5,5.6,Open,Antal afslutninger på mål | Mathis Albert,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mathis Albert,Over 2.5,14.5,Open,Antal afslutninger på mål | Mathis Albert,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mathis Albert,Over 3.5,23.0,Open,Antal afslutninger på mål | Mathis Albert,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 0.5,1.5,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 1.5,3.3,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 2.5,8.5,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 3.5,17.0,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 4.5,23.0,Open,Antal afslutninger på mål | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 0.5,4.75,Open,Antal afslutninger på mål | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 1.5,19.0,Open,Antal afslutninger på mål | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 2.5,25.0,Open,Antal afslutninger på mål | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 0.5,4.6,Open,Antal afslutninger på mål | Nico Schlotterbeck,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 1.5,18.5,Open,Antal afslutninger på mål | Nico Schlotterbeck,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 2.5,25.0,Open,Antal afslutninger på mål | Nico Schlotterbeck,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Jessen,Over 0.5,3.85,Open,Antal afslutninger på mål | Niklas Jessen,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Jessen,Over 1.5,16.0,Open,Antal afslutninger på mål | Niklas Jessen,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Jessen,Over 2.5,24.0,Open,Antal afslutninger på mål | Niklas Jessen,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Süle,Over 0.5,4.85,Open,Antal afslutninger på mål | Niklas Süle,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Süle,Over 1.5,19.5,Open,Antal afslutninger på mål | Niklas Süle,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Süle,Over 2.5,25.0,Open,Antal afslutninger på mål | Niklas Süle,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nnamdi Collins,Over 0.5,5.5,Open,Antal afslutninger på mål | Nnamdi Collins,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nnamdi Collins,Over 1.5,21.0,Open,Antal afslutninger på mål | Nnamdi Collins,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Noah Fenyo,Over 0.5,5.1,Open,Antal afslutninger på mål | Noah Fenyo,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Noah Fenyo,Over 1.5,20.0,Open,Antal afslutninger på mål | Noah Fenyo,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Noah Fenyo,Over 2.5,25.0,Open,Antal afslutninger på mål | Noah Fenyo,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Oscar Hojlund,Over 0.5,3.25,Open,Antal afslutninger på mål | Oscar Hojlund,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Oscar Hojlund,Over 1.5,13.0,Open,Antal afslutninger på mål | Oscar Hojlund,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Oscar Hojlund,Over 2.5,23.0,Open,Antal afslutninger på mål | Oscar Hojlund,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Rasmus Kristensen,Over 0.5,3.25,Open,Antal afslutninger på mål | Rasmus Kristensen,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Rasmus Kristensen,Over 1.5,13.0,Open,Antal afslutninger på mål | Rasmus Kristensen,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Rasmus Kristensen,Over 2.5,23.0,Open,Antal afslutninger på mål | Rasmus Kristensen,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 0.5,2.1,Open,Antal afslutninger på mål | Ritsu Doan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 1.5,6.6,Open,Antal afslutninger på mål | Ritsu Doan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 2.5,16.5,Open,Antal afslutninger på mål | Ritsu Doan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 3.5,23.0,Open,Antal afslutninger på mål | Ritsu Doan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Robin Koch,Over 0.5,5.5,Open,Antal afslutninger på mål | Robin Koch,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Robin Koch,Over 1.5,21.0,Open,Antal afslutninger på mål | Robin Koch,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Rodney Elongo Yombo,Over 0.5,1.93,Open,Antal afslutninger på mål | Rodney Elongo Yombo,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Rodney Elongo Yombo,Over 1.5,5.6,Open,Antal afslutninger på mål | Rodney Elongo Yombo,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Rodney Elongo Yombo,Over 2.5,14.5,Open,Antal afslutninger på mål | Rodney Elongo Yombo,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Rodney Elongo Yombo,Over 3.5,23.0,Open,Antal afslutninger på mål | Rodney Elongo Yombo,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Salih Özcan,Over 0.5,4.55,Open,Antal afslutninger på mål | Salih Özcan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Salih Özcan,Over 1.5,18.5,Open,Antal afslutninger på mål | Salih Özcan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Salih Özcan,Over 2.5,25.0,Open,Antal afslutninger på mål | Salih Özcan,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Samuele Inacio,Over 0.5,1.6,Open,Antal afslutninger på mål | Samuele Inacio,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Samuele Inacio,Over 1.5,3.75,Open,Antal afslutninger på mål | Samuele Inacio,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Samuele Inacio,Over 2.5,9.75,Open,Antal afslutninger på mål | Samuele Inacio,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Samuele Inacio,Over 3.5,18.5,Open,Antal afslutninger på mål | Samuele Inacio,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Samuele Inacio,Over 4.5,24.0,Open,Antal afslutninger på mål | Samuele Inacio,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 0.5,1.33,Open,Antal afslutninger på mål | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 1.5,2.5,Open,Antal afslutninger på mål | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 2.5,5.8,Open,Antal afslutninger på mål | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 3.5,13.0,Open,Antal afslutninger på mål | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Over 4.5,20.0,Open,Antal afslutninger på mål | Serhou Guirassy,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 0.5,3.8,Open,Antal afslutninger på mål | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 1.5,15.5,Open,Antal afslutninger på mål | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 2.5,24.0,Open,Antal afslutninger på mål | Yan Couto,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yannik Luhrs,Over 0.5,5.0,Open,Antal afslutninger på mål | Yannik Luhrs,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yannik Luhrs,Over 1.5,19.5,Open,Antal afslutninger på mål | Yannik Luhrs,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Yannik Luhrs,Over 2.5,25.0,Open,Antal afslutninger på mål | Yannik Luhrs,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 0.5,1.75,Open,Antal afslutninger på mål | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 1.5,4.65,Open,Antal afslutninger på mål | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 2.5,12.5,Open,Antal afslutninger på mål | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 3.5,21.0,Open,Antal afslutninger på mål | Younes Ebnoutalib,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Gregor Kobel,Over 1.5,1.27,Open,Målmand Redninger | Gregor Kobel,2026-01-09T19:30:00+00:00
