event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,payout_betinia,payout_expekt,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_max,best_bookmaker,best_payout,other_bookmaker,other_payout
Eintracht Frankfurt vs Borussia Dortmund,Almugera Kabar,Over 0.5,1.35,Open,Spiller Frispark Begået | Almugera Kabar,nan,,,,1.35,,,,,Expekt,,Betinia,1.35
Eintracht Frankfurt vs Borussia Dortmund,Almugera Kabar,Over 1.5,2.7143,Open,Spiller Frispark Begået | Almugera Kabar,nan,,,,2.7143,,,,,Expekt,,Betinia,2.7143
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 0.5,1.1819,Open,Spiller Frispark Begået | Ansgar Knauff,nan,1.29,Open,2026-01-09T19:30:00+00:00,1.1819,1.29,0.9162015503875969,1.0914628987223962,1.0914628987223962,Expekt,1.29,Betinia,1.1819
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,2.0,Open,Spiller Frispark Begået | Ansgar Knauff,nan,2.4,Open,2026-01-09T19:30:00+00:00,2.0,2.4,0.8333333333333334,1.2,1.2,Expekt,2.4,Betinia,2.0
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,4.0,Open,Spiller Frispark Begået | Ansgar Knauff,nan,,,,4.0,,,,,Expekt,,Betinia,4.0
Eintracht Frankfurt vs Borussia Dortmund,Arnaud Kalimuendo,Over 0.5,1.68,Open,Spiller Frispark Begået | Arnaud Kalimuendo,nan,,,,1.68,,,,,Expekt,,Betinia,1.68
Eintracht Frankfurt vs Borussia Dortmund,Arnaud Kalimuendo,Over 1.5,4.25,Open,Spiller Frispark Begået | Arnaud Kalimuendo,nan,,,,4.25,,,,,Expekt,,Betinia,4.25
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 0.5,1.5834,Open,Spiller Frispark Begået | Arthur Theate,nan,1.5,Open,2026-01-09T19:30:00+00:00,1.5834,1.5,1.0555999999999999,0.9473285335354301,1.0555999999999999,Betinia,1.5834,Expekt,1.5
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 1.5,3.6667,Open,Spiller Frispark Begået | Arthur Theate,nan,3.75,Open,2026-01-09T19:30:00+00:00,3.6667,3.75,0.9777866666666667,1.0227179752911337,1.0227179752911337,Expekt,3.75,Betinia,3.6667
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 0.5,1.1539,Open,Spiller Frispark Begået | Aurele Amenda,nan,1.57,Open,2026-01-09T19:30:00+00:00,1.1539,1.57,0.734968152866242,1.3606031718519804,1.3606031718519804,Expekt,1.57,Betinia,1.1539
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 1.5,1.9,Open,Spiller Frispark Begået | Aurele Amenda,nan,4.0,Open,2026-01-09T19:30:00+00:00,1.9,4.0,0.475,2.1052631578947367,2.1052631578947367,Expekt,4.0,Betinia,1.9
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 2.5,3.6667,Open,Spiller Frispark Begået | Aurele Amenda,nan,,,,3.6667,,,,,Expekt,,Betinia,3.6667
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 0.5,1.32,Open,Spiller Frispark Begået | Aurelio Buta,nan,1.44,Open,2026-01-09T19:30:00+00:00,1.32,1.44,0.9166666666666667,1.0909090909090908,1.0909090909090908,Expekt,1.44,Betinia,1.32
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 1.5,2.5455,Open,Spiller Frispark Begået | Aurelio Buta,nan,3.25,Open,2026-01-09T19:30:00+00:00,2.5455,3.25,0.7832307692307693,1.2767629149479474,1.2767629149479474,Expekt,3.25,Betinia,2.5455
Eintracht Frankfurt vs Borussia Dortmund,Aurelio Buta,Over 2.5,5.5,Open,Spiller Frispark Begået | Aurelio Buta,nan,,,,5.5,,,,,Expekt,,Betinia,5.5
Eintracht Frankfurt vs Borussia Dortmund,Can Yılmaz Uzun,Over 0.5,1.25,Open,Spiller Frispark Begået | Can Yılmaz Uzun,nan,,,,1.25,,,,,Expekt,,Betinia,1.25
Eintracht Frankfurt vs Borussia Dortmund,Can Yılmaz Uzun,Over 1.5,2.25,Open,Spiller Frispark Begået | Can Yılmaz Uzun,nan,,,,2.25,,,,,Expekt,,Betinia,2.25
Eintracht Frankfurt vs Borussia Dortmund,Can Yılmaz Uzun,Over 2.5,5.0,Open,Spiller Frispark Begået | Can Yılmaz Uzun,nan,,,,5.0,,,,,Expekt,,Betinia,5.0
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 0.5,1.5,Open,Spiller Frispark Begået | Carney Chukwuemeka,nan,1.3,Open,2026-01-09T19:30:00+00:00,1.5,1.3,1.1538461538461537,0.8666666666666667,1.1538461538461537,Betinia,1.5,Expekt,1.3
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 1.5,3.4,Open,Spiller Frispark Begået | Carney Chukwuemeka,nan,2.6,Open,2026-01-09T19:30:00+00:00,3.4,2.6,1.3076923076923077,0.7647058823529412,1.3076923076923077,Betinia,3.4,Expekt,2.6
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 0.5,1.25,Open,Spiller Frispark Begået | Daniel Svensson,nan,1.53,Open,2026-01-09T19:30:00+00:00,1.25,1.53,0.8169934640522876,1.224,1.224,Expekt,1.53,Betinia,1.25
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 1.5,2.3637,Open,Spiller Frispark Begået | Daniel Svensson,nan,3.8,Open,2026-01-09T19:30:00+00:00,2.3637,3.8,0.6220263157894738,1.6076490248339466,1.6076490248339466,Expekt,3.8,Betinia,2.3637
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 2.5,5.0,Open,Spiller Frispark Begået | Daniel Svensson,nan,,,,5.0,,,,,Expekt,,Betinia,5.0
Eintracht Frankfurt vs Borussia Dortmund,Ellyes Skhiri,Over 0.5,1.5455,Open,Spiller Frispark Begået | Ellyes Skhiri,nan,,,,1.5455,,,,,Expekt,,Betinia,1.5455
Eintracht Frankfurt vs Borussia Dortmund,Ellyes Skhiri,Over 1.5,3.6,Open,Spiller Frispark Begået | Ellyes Skhiri,nan,,,,3.6,,,,,Expekt,,Betinia,3.6
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 0.5,1.35,Open,Spiller Frispark Begået | Emre Can,nan,1.2,Open,2026-01-09T19:30:00+00:00,1.35,1.2,1.1250000000000002,0.8888888888888888,1.1250000000000002,Betinia,1.35,Expekt,1.2
Eintracht Frankfurt vs Borussia Dortmund,Emre Can,Over 1.5,2.7143,Open,Spiller Frispark Begået | Emre Can,nan,2.1,Open,2026-01-09T19:30:00+00:00,2.7143,2.1,1.2925238095238096,0.7736801385255867,1.2925238095238096,Betinia,2.7143,Expekt,2.1
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 0.5,1.32,Open,Spiller Frispark Begået | Felix Nmecha,nan,1.29,Open,2026-01-09T19:30:00+00:00,1.32,1.29,1.0232558139534884,0.9772727272727273,1.0232558139534884,Betinia,1.32,Expekt,1.29
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 1.5,2.5455,Open,Spiller Frispark Begået | Felix Nmecha,nan,2.5,Open,2026-01-09T19:30:00+00:00,2.5455,2.5,1.0182,0.9821253191907287,1.0182,Betinia,2.5455,Expekt,2.5
Eintracht Frankfurt vs Borussia Dortmund,Felix Nmecha,Over 2.5,5.5,Open,Spiller Frispark Begået | Felix Nmecha,nan,,,,5.5,,,,,Expekt,,Betinia,5.5
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 0.5,1.52,Open,Spiller Frispark Begået | Filippo Calixte Mane,nan,,,,1.52,,,,,Expekt,,Betinia,1.52
Eintracht Frankfurt vs Borussia Dortmund,Filippo Calixte Mane,Over 1.5,3.5,Open,Spiller Frispark Begået | Filippo Calixte Mane,nan,,,,3.5,,,,,Expekt,,Betinia,3.5
Eintracht Frankfurt vs Borussia Dortmund,Fousseny Max Doumbia,Over 0.5,1.4,Open,Spiller Frispark Begået | Fousseny Max Doumbia,nan,,,,1.4,,,,,Expekt,,Betinia,1.4
Eintracht Frankfurt vs Borussia Dortmund,Fousseny Max Doumbia,Over 1.5,3.0,Open,Spiller Frispark Begået | Fousseny Max Doumbia,nan,,,,3.0,,,,,Expekt,,Betinia,3.0
Eintracht Frankfurt vs Borussia Dortmund,Fábio Sivla,Over 0.5,1.04,Closed,Spiller Frispark Begået | Fábio Sivla,nan,,,,1.04,,,,,Expekt,,Betinia,1.04
Eintracht Frankfurt vs Borussia Dortmund,Fábio Sivla,Over 1.5,1.48,Open,Spiller Frispark Begået | Fábio Sivla,nan,,,,1.48,,,,,Expekt,,Betinia,1.48
Eintracht Frankfurt vs Borussia Dortmund,Fábio Sivla,Over 2.5,2.5,Open,Spiller Frispark Begået | Fábio Sivla,nan,,,,2.5,,,,,Expekt,,Betinia,2.5
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 0.5,1.25,Open,"Spiller Frispark Begået | Guirassy, Serhou",nan,,,,1.25,,,,,Expekt,,Betinia,1.25
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 1.5,2.3637,Open,"Spiller Frispark Begået | Guirassy, Serhou",nan,,,,2.3637,,,,,Expekt,,Betinia,2.3637
Eintracht Frankfurt vs Borussia Dortmund,"Guirassy, Serhou",Over 2.5,5.0,Open,"Spiller Frispark Begået | Guirassy, Serhou",nan,,,,5.0,,,,,Expekt,,Betinia,5.0
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 0.5,1.5455,Open,Spiller Frispark Begået | Hugo Larsson,nan,1.57,Open,2026-01-09T19:30:00+00:00,1.5455,1.57,0.9843949044585988,1.015852474927208,1.015852474927208,Expekt,1.57,Betinia,1.5455
Eintracht Frankfurt vs Borussia Dortmund,Hugo Larsson,Over 1.5,3.6,Open,Spiller Frispark Begået | Hugo Larsson,nan,4.0,Open,2026-01-09T19:30:00+00:00,3.6,4.0,0.9,1.1111111111111112,1.1111111111111112,Expekt,4.0,Betinia,3.6
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 0.5,1.25,Open,Spiller Frispark Begået | Jean Matteo Bahoya,nan,1.6,Open,2026-01-09T19:30:00+00:00,1.25,1.6,0.78125,1.28,1.28,Expekt,1.6,Betinia,1.25
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 1.5,2.3,Open,Spiller Frispark Begået | Jean Matteo Bahoya,nan,4.2,Open,2026-01-09T19:30:00+00:00,2.3,4.2,0.5476190476190476,1.8260869565217392,1.8260869565217392,Expekt,4.2,Betinia,2.3
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 2.5,5.0,Open,Spiller Frispark Begået | Jean Matteo Bahoya,nan,,,,5.0,,,,,Expekt,,Betinia,5.0
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 0.5,1.25,Open,Spiller Frispark Begået | Jessic Ngankam,nan,1.2,Open,2026-01-09T19:30:00+00:00,1.25,1.2,1.0416666666666667,0.96,1.0416666666666667,Betinia,1.25,Expekt,1.2
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 1.5,2.25,Open,Spiller Frispark Begået | Jessic Ngankam,nan,2.05,Open,2026-01-09T19:30:00+00:00,2.25,2.05,1.0975609756097562,0.911111111111111,1.0975609756097562,Betinia,2.25,Expekt,2.05
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 2.5,5.0,Open,Spiller Frispark Begået | Jessic Ngankam,nan,,,,5.0,,,,,Expekt,,Betinia,5.0
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 0.5,2.5455,Open,Spiller Frispark Begået | Julian Brandt,nan,2.3,Open,2026-01-09T19:30:00+00:00,2.5455,2.3,1.1067391304347827,0.9035552936554704,1.1067391304347827,Betinia,2.5455,Expekt,2.3
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 1.5,9.0,Open,Spiller Frispark Begået | Julian Brandt,nan,7.5,Open,2026-01-09T19:30:00+00:00,9.0,7.5,1.2,0.8333333333333334,1.2,Betinia,9.0,Expekt,7.5
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 0.5,1.2308,Open,Spiller Frispark Begået | Julian Ryerson,nan,1.3,Open,2026-01-09T19:30:00+00:00,1.2308,1.3,0.9467692307692307,1.05622359441014,1.05622359441014,Expekt,1.3,Betinia,1.2308
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 1.5,2.2,Open,Spiller Frispark Begået | Julian Ryerson,nan,2.6,Open,2026-01-09T19:30:00+00:00,2.2,2.6,0.8461538461538461,1.1818181818181817,1.1818181818181817,Expekt,2.6,Betinia,2.2
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 2.5,4.5,Open,Spiller Frispark Begået | Julian Ryerson,nan,,,,4.5,,,,,Expekt,,Betinia,4.5
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 0.5,1.1539,Open,Spiller Frispark Begået | Julien Duranville,nan,1.4,Open,2026-01-09T19:30:00+00:00,1.1539,1.4,0.8242142857142857,1.2132767137533582,1.2132767137533582,Expekt,1.4,Betinia,1.1539
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 1.5,1.9,Open,Spiller Frispark Begået | Julien Duranville,nan,3.1,Open,2026-01-09T19:30:00+00:00,1.9,3.1,0.6129032258064515,1.6315789473684212,1.6315789473684212,Expekt,3.1,Betinia,1.9
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 2.5,3.8,Open,Spiller Frispark Begået | Julien Duranville,nan,,,,3.8,,,,,Expekt,,Betinia,3.8
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 0.5,1.1,Open,Spiller Frispark Begået | Karim Adeyemi,nan,1.12,Open,2026-01-09T19:30:00+00:00,1.1,1.12,0.9821428571428571,1.0181818181818183,1.0181818181818183,Expekt,1.12,Betinia,1.1
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 1.5,1.68,Open,Spiller Frispark Begået | Karim Adeyemi,nan,1.67,Open,2026-01-09T19:30:00+00:00,1.68,1.67,1.0059880239520957,0.9940476190476191,1.0059880239520957,Betinia,1.68,Expekt,1.67
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 2.5,3.1,Open,Spiller Frispark Begået | Karim Adeyemi,nan,,,,3.1,,,,,Expekt,,Betinia,3.1
Eintracht Frankfurt vs Borussia Dortmund,Keita Kosugi,Over 0.5,1.4167,Open,Spiller Frispark Begået | Keita Kosugi,nan,,,,1.4167,,,,,Expekt,,Betinia,1.4167
Eintracht Frankfurt vs Borussia Dortmund,Keita Kosugi,Over 1.5,3.0,Open,Spiller Frispark Begået | Keita Kosugi,nan,,,,3.0,,,,,Expekt,,Betinia,3.0
