event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Rasmus Nissen,Over 0.5,1.7,Open,Spillers samlede antal skud | Rasmus Nissen,
Eintracht Frankfurt vs Borussia Dortmund,Rasmus Nissen,Over 1.5,4.25,Open,Spillers samlede antal skud | Rasmus Nissen,
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 1.5,1.4,Open,Spillers samlede antal skud | Ritsu Doan,
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 2.5,2.25,Open,Spillers samlede antal skud | Ritsu Doan,
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 3.5,4.0,Open,Spillers samlede antal skud | Ritsu Doan,
Eintracht Frankfurt vs Borussia Dortmund,Robin Koch,Over 0.5,1.7,Open,Spillers samlede antal skud | Robin Koch,
Eintracht Frankfurt vs Borussia Dortmund,Robin Koch,Over 1.5,4.25,Open,Spillers samlede antal skud | Robin Koch,
Eintracht Frankfurt vs Borussia Dortmund,Salih Özcan,Over 0.5,1.8182,Open,Spillers samlede antal skud | Salih Özcan,
Eintracht Frankfurt vs Borussia Dortmund,Salih Özcan,Over 1.5,4.75,Open,Spillers samlede antal skud | Salih Özcan,
Eintracht Frankfurt vs Borussia Dortmund,Timothy Chandler,Over 0.5,1.68,Open,Spillers samlede antal skud | Timothy Chandler,
Eintracht Frankfurt vs Borussia Dortmund,Timothy Chandler,Over 1.5,4.25,Open,Spillers samlede antal skud | Timothy Chandler,
Eintracht Frankfurt vs Borussia Dortmund,Waldemar Anton,Over 0.5,1.8182,Open,Spillers samlede antal skud | Waldemar Anton,
Eintracht Frankfurt vs Borussia Dortmund,Waldemar Anton,Over 1.5,5.0,Open,Spillers samlede antal skud | Waldemar Anton,
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 1.5,1.1819,Open,Spillers samlede antal skud | Younes Ebnoutalib,
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 2.5,1.6154,Open,Spillers samlede antal skud | Younes Ebnoutalib,
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 3.5,2.6,Open,Spillers samlede antal skud | Younes Ebnoutalib,
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 1.5,3.6667,Open,Spillers samlede antal tacklinger | Ansgar Knauff,
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,7.5,Open,Spillers samlede antal tacklinger | Ansgar Knauff,
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 3.5,12.0,Open,Spillers samlede antal tacklinger | Ansgar Knauff,
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 4.5,17.0,Open,Spillers samlede antal tacklinger | Ansgar Knauff,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 1.5,1.4445,Open,Spillers samlede antal tacklinger | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 2.5,2.5455,Open,Spillers samlede antal tacklinger | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 3.5,3.6,Open,Spillers samlede antal tacklinger | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 4.5,6.3334,Open,Spillers samlede antal tacklinger | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 5.5,11.0,Open,Spillers samlede antal tacklinger | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Arthur Theate,Over 6.5,17.0,Open,Spillers samlede antal tacklinger | Arthur Theate,
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 1.5,1.875,Open,Spillers samlede antal tacklinger | Aurele Amenda,
Eintracht Frankfurt vs Borussia Dortmund,Aurele Amenda,Over 2.5,2.8572,Open,Spillers samlede antal tacklinger | Aurele Amenda,
