event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,odds_decimal_betano,status_selection_betano,deadline,payout_betinia,payout_expekt,payout_betano,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_betinia_over_betano,ratio_betano_over_betinia,ratio_expekt_over_betano,ratio_betano_over_expekt,best_payout,best_bookmaker,second_best_payout,ratio_best_over_second
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 0.5,2.3637,Open,Spillers samlede antal assister | Julian Brandt,nan,4.0,Open,2026-01-09T19:30:00+00:00,4.0,Open,2026-01-09T19:30:00+00:00,2.3637,4.0,4.0,0.590925,1.6922621314041544,0.590925,1.6922621314041544,1.0,1.0,4.0,Expekt,4.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 2.5,5.0,Open,Spillers samlede antal skud | Mahmoud Dahoud,nan,5.0,Open,2026-01-09T19:30:00+00:00,3.55,Open,2026-01-09T19:30:00+00:00,5.0,5.0,3.55,1.0,1.0,1.4084507042253522,0.71,1.4084507042253522,0.71,5.0,Betinia,5.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 0.5,2.3,Open,Antal afslutninger på mål | Marcel Sabitzer,nan,2.3,Open,2026-01-09T19:30:00+00:00,2.25,Open,2026-01-09T19:30:00+00:00,2.3,2.3,2.25,1.0,1.0,1.0222222222222221,0.9782608695652175,1.0222222222222221,0.9782608695652175,2.3,Betinia,2.3,1.0
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Yes,6.0,Open,Spiller scorer | Marcel Sabitzer,nan,6.0,Open,2026-01-09T19:30:00+00:00,4.7,Open,2026-01-09T19:30:00+00:00,6.0,6.0,4.7,1.0,1.0,1.276595744680851,0.7833333333333333,1.276595744680851,0.7833333333333333,6.0,Betinia,6.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 2.5,5.0,Open,Spillers samlede antal tacklinger | Maximilian Beier,nan,5.0,Open,2026-01-09T19:30:00+00:00,,,,5.0,5.0,,1.0,1.0,,,,,5.0,Betinia,5.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Yes,10.0,Open,Spiller scorer | Nico Schlotterbeck,nan,12.0,Open,2026-01-09T19:30:00+00:00,12.0,Open,2026-01-09T19:30:00+00:00,10.0,12.0,12.0,0.8333333333333334,1.2,0.8333333333333334,1.2,1.0,1.0,12.0,Expekt,12.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Oscar Hojlund,Over 0.5,,,Antal afslutninger på mål | Oscar Hojlund,,3.25,Open,2026-01-09T19:30:00+00:00,3.25,Open,2026-01-09T19:30:00+00:00,,3.25,3.25,,,,,1.0,1.0,3.25,Expekt,3.25,1.0
Eintracht Frankfurt vs Borussia Dortmund,Oscar Hojlund,Over 0.5,,,Spillers samlede antal skud | Oscar Hojlund,,1.5,Open,2026-01-09T19:30:00+00:00,1.5,Open,2026-01-09T19:30:00+00:00,,1.5,1.5,,,,,1.0,1.0,1.5,Expekt,1.5,1.0
Eintracht Frankfurt vs Borussia Dortmund,Oscar Hojlund,Over 2.5,,,Spillers samlede antal skud | Oscar Hojlund,,8.5,Open,2026-01-09T19:30:00+00:00,8.5,Open,2026-01-09T19:30:00+00:00,,8.5,8.5,,,,,1.0,1.0,8.5,Expekt,8.5,1.0
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 1.5,3.4,Open,Spiller Frispark Begået | Ritsu Doan,nan,3.4,Open,2026-01-09T19:30:00+00:00,,,,3.4,3.4,,1.0,1.0,,,,,3.4,Betinia,3.4,1.0
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Yes,3.2,Open,Spiller scorer | Ritsu Doan,nan,5.0,Open,2026-01-09T19:30:00+00:00,5.0,Open,2026-01-09T19:30:00+00:00,3.2,5.0,5.0,0.64,1.5625,0.64,1.5625,1.0,1.0,5.0,Expekt,5.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Robin Koch,Over 0.5,3.6667,Open,Antal afslutninger på mål | Robin Koch,nan,5.5,Open,2026-01-09T19:30:00+00:00,5.5,Open,2026-01-09T19:30:00+00:00,3.6667,5.5,5.5,0.6666727272727273,1.4999863637603295,0.6666727272727273,1.4999863637603295,1.0,1.0,5.5,Expekt,5.5,1.0
Eintracht Frankfurt vs Borussia Dortmund,Serhou Guirassy,Yes,,,Spiller får kort | Serhou Guirassy,,5.5,Open,2026-01-09T19:30:00+00:00,5.5,Open,2026-01-09T19:30:00+00:00,,5.5,5.5,,,,,1.0,1.0,5.5,Expekt,5.5,1.0
Eintracht Frankfurt vs Borussia Dortmund,Timothy Chandler,Over 0.5,7.0,Open,Spillers samlede antal assister | Timothy Chandler,nan,7.0,Open,2026-01-09T19:30:00+00:00,,,,7.0,7.0,,1.0,1.0,,,,,7.0,Betinia,7.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Waldemar Anton,Over 1.5,5.0,Open,Spillers samlede antal skud | Waldemar Anton,nan,5.0,Open,2026-01-09T19:30:00+00:00,,,,5.0,5.0,,1.0,1.0,,,,,5.0,Betinia,5.0,1.0
Eintracht Frankfurt vs Borussia Dortmund,Younes Ebnoutalib,Over 1.5,3.2,Open,Spiller Frispark Begået | Younes Ebnoutalib,nan,3.2,Open,2026-01-09T19:30:00+00:00,,,,3.2,3.2,,1.0,1.0,,,,,3.2,Betinia,3.2,1.0
