event,player,selectionLabel,marketLabel,deadline,status_selection_betsson,odds_decimal_betsson,status_selection_betano,odds_decimal_betano,status_selection_expekt,odds_decimal_expekt,best_bookmaker,best_odds_decimal,second_bookmaker,second_best_odds_decimal,ratio_best_over_second
Arsenal vs Liverpool,Conor Bradley,Over 0.5,Spiller Frispark Begået | Conor Bradley,2026-01-08T20:00:00+00:00,Open,1.22,,,Open,1.12,Betsson,1.22,Expekt,1.12,1.0892857142857142
Arsenal vs Liverpool,Conor Bradley,Over 1.5,Spiller Frispark Begået | Conor Bradley,2026-01-08T20:00:00+00:00,Open,2.05,Open,2.65,Open,1.67,Betano,2.65,Betsson,2.05,1.2926829268292683
Arsenal vs Liverpool,Conor Bradley,Over 2.5,Spiller Frispark Begået | Conor Bradley,,Open,4.0,,,,,Betsson,4.0,,,
Arsenal vs Liverpool,Cristhian Mosquera,Over 0.5,Spiller Frispark Begået | Cristhian Mosquera,,Open,2.65,Open,1.78,,,Betsson,2.65,Betano,1.78,1.4887640449438202
Arsenal vs Liverpool,Cristhian Mosquera,Over 1.5,Spiller Frispark Begået | Cristhian Mosquera,,Open,9.0,,,,,Betsson,9.0,,,
Arsenal vs Liverpool,Curtis Jones,Over 0.5,Spiller Frispark Begået | Curtis Jones,2026-01-08T20:00:00+00:00,Open,1.58,,,Open,1.3,Betsson,1.58,Expekt,1.3,1.2153846153846155
Arsenal vs Liverpool,Curtis Jones,Over 1.5,Spiller Frispark Begået | Curtis Jones,2026-01-08T20:00:00+00:00,Open,3.6,Open,2.86,Open,2.5,Betsson,3.6,Betano,2.86,1.2587412587412588
Arsenal vs Liverpool,Declan Rice,Over 0.5,Spiller Frispark Begået | Declan Rice,2026-01-08T20:00:00+00:00,Open,1.6,,,Open,1.44,Betsson,1.6,Expekt,1.44,1.1111111111111112
Arsenal vs Liverpool,Declan Rice,Over 1.5,Spiller Frispark Begået | Declan Rice,2026-01-08T20:00:00+00:00,Open,3.7,Open,2.82,Open,3.4,Betsson,3.7,Expekt,3.4,1.0882352941176472
Arsenal vs Liverpool,Dominik Szoboszlai,Over 0.5,Spiller Frispark Begået | Dominik Szoboszlai,2026-01-08T20:00:00+00:00,Open,1.32,,,Open,1.18,Betsson,1.32,Expekt,1.18,1.1186440677966103
Arsenal vs Liverpool,Dominik Szoboszlai,Over 1.5,Spiller Frispark Begået | Dominik Szoboszlai,2026-01-08T20:00:00+00:00,Open,2.5,Open,3.09,Open,2.0,Betano,3.09,Betsson,2.5,1.236
Arsenal vs Liverpool,Dominik Szoboszlai,Over 2.5,Spiller Frispark Begået | Dominik Szoboszlai,,Open,5.5,,,,,Betsson,5.5,,,
Arsenal vs Liverpool,Eberechi Eze,Over 0.5,Spiller Frispark Begået | Eberechi Eze,2026-01-08T20:00:00+00:00,Open,1.82,Open,1.54,Open,1.57,Betsson,1.82,Expekt,1.57,1.1592356687898089
Arsenal vs Liverpool,Eberechi Eze,Over 1.5,Spiller Frispark Begået | Eberechi Eze,2026-01-08T20:00:00+00:00,Open,4.75,,,Open,4.0,Betsson,4.75,Expekt,4.0,1.1875
Arsenal vs Liverpool,Ethan Nwaneri,Over 0.5,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00+00:00,Open,1.5,Open,1.63,Open,1.53,Betano,1.63,Expekt,1.53,1.065359477124183
Arsenal vs Liverpool,Ethan Nwaneri,Over 1.5,Spiller Frispark Begået | Ethan Nwaneri,2026-01-08T20:00:00+00:00,Open,3.2,,,Open,3.8,Expekt,3.8,Betsson,3.2,1.1874999999999998
Arsenal vs Liverpool,Federico Chiesa,Over 0.5,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00+00:00,Open,1.3,,,Open,1.36,Expekt,1.36,Betsson,1.3,1.0461538461538462
Arsenal vs Liverpool,Federico Chiesa,Over 1.5,Spiller Frispark Begået | Federico Chiesa,2026-01-08T20:00:00+00:00,Open,2.35,Open,2.92,Open,2.88,Betano,2.92,Expekt,2.88,1.0138888888888888
Arsenal vs Liverpool,Federico Chiesa,Over 2.5,Spiller Frispark Begået | Federico Chiesa,,Open,5.0,,,,,Betsson,5.0,,,
Arsenal vs Liverpool,Florian Wirtz,Over 0.5,Spiller Frispark Begået | Florian Wirtz,2026-01-08T20:00:00+00:00,Open,1.6,Open,1.55,Open,1.44,Betsson,1.6,Betano,1.55,1.032258064516129
Arsenal vs Liverpool,Florian Wirtz,Over 1.5,Spiller Frispark Begået | Florian Wirtz,2026-01-08T20:00:00+00:00,Open,3.7,,,Open,3.25,Betsson,3.7,Expekt,3.25,1.1384615384615384
Arsenal vs Liverpool,Gabriel Jesus,Over 0.5,Spiller Frispark Begået | Gabriel Jesus,,Open,1.17,,,,,Betsson,1.17,,,
