selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 3.5,1.85,Open,Spillers samlede antal skud | Gabriel Jesus,2026-01-08T20:00:00Z,Gabriel Jesus,
Over 4.5,2.85,Open,Spillers samlede antal skud | Gabriel Jesus,2026-01-08T20:00:00Z,Gabriel Jesus,
Over 2.5,1.35,Open,Spillers samlede antal skud | Gabriel Jesus,2026-01-08T20:00:00Z,Gabriel Jesus,
Over 0.5,1.75,Open,Spillers samlede antal skud | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie,
Over 1.5,4.25,Open,Spillers samlede antal skud | Piero Hincapie,2026-01-08T20:00:00Z,Piero Hincapie,
Over 1.5,15.0,Open,Spillers samlede antal skud | Giovanni Leoni,2026-01-08T20:00:00Z,Giovanni Leoni,
Over 0.5,3.6,Open,Spillers samlede antal skud | Giovanni Leoni,2026-01-08T20:00:00Z,Giovanni Leoni,
Over 2.5,2.2,Open,Spillers samlede antal skud | Charles Sagoe Jr,2026-01-08T20:00:00Z,Charles Sagoe Jr,
Over 1.5,1.42,Open,Spillers samlede antal skud | Charles Sagoe Jr,2026-01-08T20:00:00Z,Charles Sagoe Jr,
Over 3.5,3.9,Open,Spillers samlede antal skud | Charles Sagoe Jr,2026-01-08T20:00:00Z,Charles Sagoe Jr,
Over 4.5,3.9,Open,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00Z,Bukayo Saka,
Over 3.5,2.3,Open,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00Z,Bukayo Saka,
Over 2.5,1.55,Open,Spillers samlede antal skud | Bukayo Saka,2026-01-08T20:00:00Z,Bukayo Saka,
Over 0.5,1.52,Open,Spillers samlede antal skud | Gabriel Magalhaes,2026-01-08T20:00:00Z,Gabriel Magalhaes,
Over 1.5,3.3,Open,Spillers samlede antal skud | Gabriel Magalhaes,2026-01-08T20:00:00Z,Gabriel Magalhaes,
Over 0.5,1.45,Open,Spillers samlede antal skud | Trent Kone-Doherty,2026-01-08T20:00:00Z,Trent Kone-Doherty,
Over 1.5,2.95,Open,Spillers samlede antal skud | Trent Kone-Doherty,2026-01-08T20:00:00Z,Trent Kone-Doherty,
Over 4.5,3.7,Open,Spillers samlede antal skud | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Andre HarrimanAnnous,
Over 2.5,1.52,Open,Spillers samlede antal skud | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Andre HarrimanAnnous,
Over 3.5,2.25,Open,Spillers samlede antal skud | Andre HarrimanAnnous,2026-01-08T20:00:00Z,Andre HarrimanAnnous,
Over 1.5,9.0,Open,Spillers samlede antal skud | Andrew Robertson,2026-01-08T20:00:00Z,Andrew Robertson,
Over 0.5,2.55,Open,Spillers samlede antal skud | Andrew Robertson,2026-01-08T20:00:00Z,Andrew Robertson,
Over 0.5,2.05,Open,Spillers samlede antal skud | Amara Nallo,2026-01-08T20:00:00Z,Amara Nallo,
Over 1.5,5.5,Open,Spillers samlede antal skud | Amara Nallo,2026-01-08T20:00:00Z,Amara Nallo,
Over 0.5,2.9,Open,Spillers samlede antal skud | Joe Gomez,2026-01-08T20:00:00Z,Joe Gomez,
Over 1.5,11.0,Open,Spillers samlede antal skud | Joe Gomez,2026-01-08T20:00:00Z,Joe Gomez,
Over 1.5,9.0,Open,Spillers samlede antal skud | Ibrahima Konate,2026-01-08T20:00:00Z,Ibrahima Konate,
Over 0.5,2.6,Open,Spillers samlede antal skud | Ibrahima Konate,2026-01-08T20:00:00Z,Ibrahima Konate,
Over 1.5,3.7,Open,Spillers samlede antal skud | Marli Salmon,2026-01-08T20:00:00Z,Marli Salmon,
Over 0.5,1.62,Open,Spillers samlede antal skud | Marli Salmon,2026-01-08T20:00:00Z,Marli Salmon,
Over 0.5,1.52,Open,Spillers samlede antal skud | Josh Nichols,2026-01-08T20:00:00Z,Josh Nichols,
Over 1.5,3.2,Open,Spillers samlede antal skud | Josh Nichols,2026-01-08T20:00:00Z,Josh Nichols,
Over 1.5,13.0,Open,Spillers samlede antal skud | Wataru Endo,2026-01-08T20:00:00Z,Wataru Endo,
Over 0.5,3.2,Open,Spillers samlede antal skud | Wataru Endo,2026-01-08T20:00:00Z,Wataru Endo,
Over 1.5,1.62,Open,Spillers samlede antal skud | Kieran Morrison,2026-01-08T20:00:00Z,Kieran Morrison,
Over 0.5,1.12,Open,Spillers samlede antal skud | Kieran Morrison,2026-01-08T20:00:00Z,Kieran Morrison,
Over 2.5,2.8,Open,Spillers samlede antal skud | Kieran Morrison,2026-01-08T20:00:00Z,Kieran Morrison,
Over 1.5,1.2,Open,Spillers samlede antal skud | Kai Havertz,2026-01-08T20:00:00Z,Kai Havertz,
Over 0.5,1.17,Open,Spillers samlede antal skud | Louie Copley,2026-01-08T20:00:00Z,Louie Copley,
