event,player,selectionLabel,odds_decimal,status_selection,marketLabel,deadline
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 3.5,3.75,Open,Spillers samlede antal skud | Jean Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 4.5,6.5,Open,Spillers samlede antal skud | Jean Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 5.5,12.0,Open,Spillers samlede antal skud | Jean Matteo Bahoya,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 0.5,1.04,Open,Spillers samlede antal skud | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 1.5,1.22,Open,Spillers samlede antal skud | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 2.5,1.75,Open,Spillers samlede antal skud | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 3.5,3.1,Open,Spillers samlede antal skud | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 4.5,5.5,Open,Spillers samlede antal skud | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Jessic Ngankam,Over 5.5,9.5,Open,Spillers samlede antal skud | Jessic Ngankam,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 0.5,1.12,Open,Spillers samlede antal skud | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 1.5,1.7,Open,Spillers samlede antal skud | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 2.5,3.25,Open,Spillers samlede antal skud | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 3.5,6.5,Open,Spillers samlede antal skud | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Brandt,Over 4.5,13.0,Open,Spillers samlede antal skud | Julian Brandt,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 0.5,1.5,Open,Spillers samlede antal skud | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 1.5,3.75,Open,Spillers samlede antal skud | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julian Ryerson,Over 2.5,8.5,Open,Spillers samlede antal skud | Julian Ryerson,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 0.5,1.09,Open,Spillers samlede antal skud | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 1.5,1.5,Open,Spillers samlede antal skud | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 2.5,2.7,Open,Spillers samlede antal skud | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 3.5,5.5,Open,Spillers samlede antal skud | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Julien Duranville,Over 4.5,10.0,Open,Spillers samlede antal skud | Julien Duranville,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 0.5,1.06,Open,Spillers samlede antal skud | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 1.5,1.33,Open,Spillers samlede antal skud | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 2.5,2.1,Open,Spillers samlede antal skud | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 3.5,4.0,Open,Spillers samlede antal skud | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 4.5,7.0,Open,Spillers samlede antal skud | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Karim Adeyemi,Over 5.5,13.0,Open,Spillers samlede antal skud | Karim Adeyemi,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 0.5,1.25,Open,Spillers samlede antal skud | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 1.5,2.3,Open,Spillers samlede antal skud | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 2.5,5.0,Open,Spillers samlede antal skud | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mahmoud Dahoud,Over 3.5,11.0,Open,Spillers samlede antal skud | Mahmoud Dahoud,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 0.5,1.2,Open,Spillers samlede antal skud | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 1.5,2.0,Open,Spillers samlede antal skud | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 2.5,4.33,Open,Spillers samlede antal skud | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Marcel Sabitzer,Over 3.5,8.5,Open,Spillers samlede antal skud | Marcel Sabitzer,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 0.5,1.07,Open,Spillers samlede antal skud | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 1.5,1.4,Open,Spillers samlede antal skud | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 2.5,2.3,Open,Spillers samlede antal skud | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 3.5,4.5,Open,Spillers samlede antal skud | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 4.5,8.0,Open,Spillers samlede antal skud | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Mario Gotze,Over 5.5,17.0,Open,Spillers samlede antal skud | Mario Gotze,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 0.5,1.07,Open,Spillers samlede antal skud | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 1.5,1.4,Open,Spillers samlede antal skud | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 2.5,2.3,Open,Spillers samlede antal skud | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 3.5,4.5,Open,Spillers samlede antal skud | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 4.5,8.0,Open,Spillers samlede antal skud | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Maximilian Beier,Over 5.5,17.0,Open,Spillers samlede antal skud | Maximilian Beier,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 0.5,1.18,Open,Spillers samlede antal skud | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 1.5,1.91,Open,Spillers samlede antal skud | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 2.5,4.0,Open,Spillers samlede antal skud | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 3.5,8.0,Open,Spillers samlede antal skud | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nathaniel Brown,Over 4.5,19.0,Open,Spillers samlede antal skud | Nathaniel Brown,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 0.5,1.6,Open,Spillers samlede antal skud | Nico Schlotterbeck,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 1.5,4.2,Open,Spillers samlede antal skud | Nico Schlotterbeck,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nico Schlotterbeck,Over 2.5,10.0,Open,Spillers samlede antal skud | Nico Schlotterbeck,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Sule,Over 0.5,2.1,Open,Spillers samlede antal skud | Niklas Sule,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Niklas Sule,Over 1.5,6.5,Open,Spillers samlede antal skud | Niklas Sule,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nnamdi Collins,Over 0.5,1.91,Open,Spillers samlede antal skud | Nnamdi Collins,2026-01-09T19:30:00+00:00
Eintracht Frankfurt vs Borussia Dortmund,Nnamdi Collins,Over 1.5,5.5,Open,Spillers samlede antal skud | Nnamdi Collins,2026-01-09T19:30:00+00:00
